scenario,baseyear,modality,archetype,non_demographic_growth,routine_machine_hours,share_of_scans_during_day,ooh_machines,ras_per_routine_machine_hour,mit_shift_length,mit_weeks_lost,session_length_hours,clinical_reporting_sessions_per_rad,rad_weeks_lost,ip_volume_step_y0,ip_volume_step_y1,ip_volume_step_y2,ip_volume_step_y3,ip_volume_step_y4,ip_volume_step_y5,ip_volume_step_y6,ip_volume_step_y7,ip_volume_step_y8,ip_volume_step_y9,ip_volume_step_y10,op_volume_step_y0,op_volume_step_y1,op_volume_step_y2,op_volume_step_y3,op_volume_step_y4,op_volume_step_y5,op_volume_step_y6,op_volume_step_y7,op_volume_step_y8,op_volume_step_y9,op_volume_step_y10,scan_rate_y0,scan_rate_y1,scan_rate_y2,scan_rate_y3,scan_rate_y4,scan_rate_y5,scan_rate_y6,scan_rate_y7,scan_rate_y8,scan_rate_y9,scan_rate_y10,report_rate_y0,report_rate_y1,report_rate_y2,report_rate_y3,report_rate_y4,report_rate_y5,report_rate_y6,report_rate_y7,report_rate_y8,report_rate_y9,report_rate_y10,mits_per_routine_machine_hour_y0,mits_per_routine_machine_hour_y1,mits_per_routine_machine_hour_y2,mits_per_routine_machine_hour_y3,mits_per_routine_machine_hour_y4,mits_per_routine_machine_hour_y5,mits_per_routine_machine_hour_y6,mits_per_routine_machine_hour_y7,mits_per_routine_machine_hour_y8,mits_per_routine_machine_hour_y9,mits_per_routine_machine_hour_y10,mits_per_ooh_machine_hour_y0,mits_per_ooh_machine_hour_y1,mits_per_ooh_machine_hour_y2,mits_per_ooh_machine_hour_y3,mits_per_ooh_machine_hour_y4,mits_per_ooh_machine_hour_y5,mits_per_ooh_machine_hour_y6,mits_per_ooh_machine_hour_y7,mits_per_ooh_machine_hour_y8,mits_per_ooh_machine_hour_y9,mits_per_ooh_machine_hour_y10
Baseline 2023/24,2023/24,CT,X Small,0.065,40,0.984,1,1.2,4,7,4,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Baseline 2023/24,2023/24,CT,Small,0.065,40,0.966,1,1.2,4,7,4,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Baseline 2023/24,2023/24,CT,Medium,0.065,40,0.933,1,1.2,4,7,4,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Baseline 2023/24,2023/24,CT,Large,0.065,50,0.918,2,1.2,4,7,4,3.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Baseline 2023/24,2023/24,CT,X Large,0.065,50,0.918,2,1.2,4,7,4,2.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,15.71666667,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Baseline 2023/24,2023/24,MR,X Small,0.065,40,1,1,1.2,4,7,4,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Baseline 2023/24,2023/24,MR,Small,0.065,40,1,1,1.2,4,7,4,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Baseline 2023/24,2023/24,MR,Medium,0.065,40,0.989,1,1.2,4,7,4,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Baseline 2023/24,2023/24,MR,Large,0.065,50,0.995,1,1.2,4,7,4,3.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Baseline 2023/24,2023/24,MR,X Large,0.065,50,0.995,1,1.2,4,7,4,2.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,18.28,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
